source_id,municipality_id,district_scope,source_title,source_type,source_url,source_locator,evidence_roles,priority,currentness,official_verified,official_basis,checked_date,note
SS-M098-05,M098,INNOSHIMA,ごみ分別ガイドブック 因島地域,自治体公式PDF,https://www.city.onomichi.hiroshima.jp/uploaded/attachment/57907.pdf,表紙・分別区分ページ,OFFICIAL_POSTER_GUIDE,3,CURRENT,TRUE,MUNICIPAL_DOMAIN,2026-08-20,地域variant調査用。
SS-M098-06,M098,SETODA,ごみ分別ガイドブック 瀬戸田地域,自治体公式PDF,https://www.city.onomichi.hiroshima.jp/uploaded/attachment/57904.pdf,表紙・分別区分ページ,OFFICIAL_POSTER_GUIDE,3,CURRENT,TRUE,MUNICIPAL_DOMAIN,2026-08-20,地域variant調査用。
SS-M095-01,M095,MUNICIPALITY_WIDE,令和8年度版 ごみ出しカレンダー No.1,自治体公式PDF,https://www.city.kure.lg.jp/uploaded/attachment/108241.pdf,上部凡例と各月セルで反復する7区分色,OFFICIAL_CALENDAR,2,CURRENT,TRUE,MUNICIPAL_DOMAIN,2026-08-20,昭和地区版で共通テンプレートの区分色を確認。
SS-M095-02,M095,MUNICIPALITY_WIDE,ごみ出しカレンダー 令和8年度版,自治体公式Webページ,https://www.city.kure.lg.jp/soshiki/19/gomidasicalender2026.html,全地区PDF一覧と共通7区分列,OFFICIAL_WEB_INDEX,4,CURRENT,TRUE,MUNICIPAL_DOMAIN,2026-08-20,地区差は日付であり区分凡例は共通。
SS-M097-01,M097,MUNICIPALITY_WIDE,ごみステーション用看板 令和2年10月実施,自治体公式PDF,https://www.city.mihara.hiroshima.jp/uploaded/life/115378_353536_misc.pdf,看板全体・10分別の背景帯,STATION_SIGN,1,CURRENT,TRUE,MUNICIPAL_DOMAIN,2026-08-20,現行分別案内が参照するステーション看板。
SS-M097-02,M097,MUNICIPALITY_WIDE,ごみステーション用看板,自治体公式Webページ,https://www.city.mihara.hiroshima.jp/soshiki/23/115378.html,令和2年10月実施PDFへの公式導線,OFFICIAL_WEB_INDEX,4,CURRENT,TRUE,MUNICIPAL_DOMAIN,2026-08-20,PDFの公式性確認。
SS-M105-01,M105,MUNICIPALITY_WIDE,家庭ごみの正しい分け方と収集日 ポスター,自治体公式PDF,https://www.city.hatsukaichi.hiroshima.jp/uploaded/attachment/81152.pdf,指定袋欄の黄色・白色・緑色と区分行,DESIGNATED_BAG;OFFICIAL_POSTER_GUIDE,1,CURRENT,TRUE,MUNICIPAL_DOMAIN,2026-08-20,公式色名と袋画像を照合。
SS-M105-02,M105,MUNICIPALITY_WIDE,家庭ごみの正しい分け方の早見表 令和8年4月版・ポスター,自治体公式Webページ,https://www.city.hatsukaichi.hiroshima.jp/soshiki/31/78499.html,現行ポスターPDFへの公式導線,OFFICIAL_WEB_INDEX,4,CURRENT,TRUE,MUNICIPAL_DOMAIN,2026-08-20,令和8年版の現行性確認。
SS-M106-01,M106,MUNICIPALITY_WIDE,ごみの分け方・出し方,自治体公式PDF,https://www.akitakata.jp/akitakata-media/filer_public/71/1c/711ce7e9-446c-47c7-bc0c-f55db381fc25/gomino-wake-hou-dashikata-20214.pdf,区分別の背景帯と専用袋見本,OFFICIAL_POSTER_GUIDE;DESIGNATED_BAG,3,CURRENT,TRUE,MUNICIPAL_DOMAIN,2026-08-20,現行公式ページ掲載資料。
SS-M106-02,M106,MUNICIPALITY_WIDE,家庭ごみの出し方,自治体公式Webページ,https://www.akitakata.jp/ja/shisei/section/siminseikatu/gomi22/,分別表と公式PDFへの導線,OFFICIAL_WEB_INDEX,4,CURRENT,TRUE,MUNICIPAL_DOMAIN,2026-08-20,PDFの現行性確認。
SS-M109-01,M109,MUNICIPALITY_WIDE,令和8年度 家庭ごみの正しい出し方,自治体公式PDF,https://www.town.kaita.lg.jp/uploaded/life/44980_122640_misc.pdf,1頁のステーション帯・種別見出し・各区分表,OFFICIAL_POSTER_GUIDE;STATION_SIGN,2,CURRENT,TRUE,MUNICIPAL_DOMAIN,2026-08-20,資源物は同一資料内で複数の意味色が併存。
SS-M109-02,M109,MUNICIPALITY_WIDE,令和8年度 家庭ごみの正しい出し方,自治体公式Webページ,https://www.town.kaita.lg.jp/soshiki/10/135455.html,令和8年度PDFへの公式導線,OFFICIAL_WEB_INDEX,4,CURRENT,TRUE,MUNICIPAL_DOMAIN,2026-08-20,PDFの現行性確認。
SS-M107-01,M107,MUNICIPALITY_WIDE,家庭ごみの種類と正しい出し方 令和8年度改定版,自治体公式PDF,https://www.city.etajima.hiroshima.jp/cms/articles/download/11923/1/R8_nihonngo.pdf,区分別の左見出し帯,OFFICIAL_POSTER_GUIDE,3,CURRENT,TRUE,MUNICIPAL_DOMAIN,2026-08-20,令和8年度改定版の反復区分色。
SS-M107-02,M107,MUNICIPALITY_WIDE,家庭ごみの種類と正しい出し方 ポスターをご利用ください,自治体公式Webページ,https://www.city.etajima.hiroshima.jp/cms/articles/show/11923,令和8年度改定版PDFへの公式導線,OFFICIAL_WEB_INDEX,4,CURRENT,TRUE,MUNICIPAL_DOMAIN,2026-08-20,PDFの現行性確認。
