projection_id,rank,municipality_id,district_scope,category_id,自治体正式名称,display_color,border_color,text_color,color_status,color_basis,selected_style_id,accessibility_label_required,icon_status,checked_date,reviewer,note
STP-M104-08,3,M104,MUNICIPALITY_WIDE,C-M104-08,ペットボトル,#30A459,#1A5A31,#000000,OFFICIAL_DERIVED,公式ごみブック区分枠の視覚表現,STY-M104-007,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。紫指定袋は別の共有観測として保持。
STP-M104-09,3,M104,MUNICIPALITY_WIDE,C-M104-09,リサイクルプラ,#35B8D2,#1D6574,#000000,OFFICIAL_DERIVED,公式ごみブック区分枠の視覚表現,STY-M104-008,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。紫指定袋は別の共有観測として保持。
STP-M104-10,3,M104,MUNICIPALITY_WIDE,C-M104-10,有害ごみ,#F294A8,#85515C,#000000,OFFICIAL_DERIVED,公式ごみブック区分枠の視覚表現,STY-M104-009,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。オレンジ指定袋は別の共有観測として保持。
STP-M095-01,5,M095,MUNICIPALITY_WIDE,C-M095-01,燃えるごみ,#F29091,#854F50,#000000,OFFICIAL_DERIVED,公式カレンダー凡例の反復色,STY-M095-001,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STP-M095-02,5,M095,MUNICIPALITY_WIDE,C-M095-02,燃えないごみ,#B8D3E8,#657480,#000000,OFFICIAL_DERIVED,公式カレンダー凡例の反復色,STY-M095-002,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STP-M095-04,5,M095,MUNICIPALITY_WIDE,C-M095-04,プラスチック資源,#ABCD93,#5E7151,#000000,OFFICIAL_DERIVED,公式カレンダー凡例の反復色,STY-M095-003,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STP-M095-05,5,M095,MUNICIPALITY_WIDE,C-M095-05,資源物（びん類・缶類・ペットボトル）,#D5D5D5,#757575,#000000,OFFICIAL_DERIVED,公式カレンダー凡例の反復色,STY-M095-004,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STP-M095-06,5,M095,MUNICIPALITY_WIDE,C-M095-06,資源物（紙類）,#F1D56D,#85753C,#000000,OFFICIAL_DERIVED,公式カレンダー凡例の反復色,STY-M095-005,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STP-M095-07,5,M095,MUNICIPALITY_WIDE,C-M095-07,有害・危険ごみ,#D74A4A,#762929,#000000,OFFICIAL_DERIVED,公式カレンダー凡例の反復色,STY-M095-006,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STP-M097-01,6,M097,MUNICIPALITY_WIDE,C-M097-01,もやすごみ,#E8B8DE,#80657A,#000000,OFFICIAL_DERIVED,公式ステーション看板の背景帯,STY-M097-001,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STP-M097-02,6,M097,MUNICIPALITY_WIDE,C-M097-02,不燃物,#EDF1AE,#828560,#000000,OFFICIAL_DERIVED,公式ステーション看板の背景帯,STY-M097-002,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STP-M097-03,6,M097,MUNICIPALITY_WIDE,C-M097-03,びん・飲料缶,#B6DEB0,#647A61,#000000,OFFICIAL_DERIVED,公式ステーション看板の背景帯,STY-M097-003,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STP-M097-04,6,M097,MUNICIPALITY_WIDE,C-M097-04,ペットボトル,#A8E1EF,#5C7C83,#000000,OFFICIAL_DERIVED,公式ステーション看板の背景帯,STY-M097-004,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STP-M097-05,6,M097,MUNICIPALITY_WIDE,C-M097-05,容器包装プラスチック,#DDEEC6,#7A836D,#000000,OFFICIAL_DERIVED,公式ステーション看板の背景帯,STY-M097-005,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STP-M097-06,6,M097,MUNICIPALITY_WIDE,C-M097-06,発火性危険ごみ,#91CE52,#50712D,#000000,OFFICIAL_DERIVED,公式ステーション看板の小区分帯,STY-M097-006,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STP-M097-07,6,M097,MUNICIPALITY_WIDE,C-M097-07,電池,#60A5C3,#355B6B,#000000,OFFICIAL_DERIVED,公式ステーション看板の小区分帯,STY-M097-007,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STP-M097-08,6,M097,MUNICIPALITY_WIDE,C-M097-08,電池の外せない小型家電・充電式小型家電,#A19F9F,#595757,#000000,OFFICIAL_DERIVED,公式ステーション看板の小区分帯,STY-M097-008,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STP-M097-09,6,M097,MUNICIPALITY_WIDE,C-M097-09,蛍光灯（有害ごみ）,#F0DF36,#847B1E,#000000,OFFICIAL_DERIVED,公式ステーション看板の小区分帯,STY-M097-009,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STP-M105-01,7,M105,MUNICIPALITY_WIDE,C-M105-01,燃やせるごみ,#DFCDA2,#7B7159,#000000,OFFICIAL_DERIVED,公式色名と指定袋画像,STY-M105-001,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,黄色という公式記載を確認し、表示値はPDF画像からの近似値。自治体公式HEXではない。
STP-M105-02,7,M105,MUNICIPALITY_WIDE,C-M105-02,資源ごみ,,,,NOT_CONFIRMED,資源ごみ親は白色袋・ひも束・複数排出方法,,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,単一の親色を確認できない。空欄を維持し推測しない。 UI接続時はFALLBACKを別状態として適用する。
STP-M105-08,7,M105,MUNICIPALITY_WIDE,C-M105-08,埋立ごみ,#FFFFFF,#8C8C8C,#000000,OFFICIAL_DERIVED,公式色名と指定袋画像,STY-M105-003,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,白色という公式記載を確認し、表示値はPDF画像からの近似値。自治体公式HEXではない。
STP-M105-10,7,M105,MUNICIPALITY_WIDE,C-M105-10,小型および複雑ごみ,#B6DEB0,#647A61,#000000,OFFICIAL_DERIVED,公式色名と指定袋画像,STY-M105-004,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,緑色という公式記載を確認し、表示値はPDF画像からの近似値。自治体公式HEXではない。
STP-M105-11,7,M105,MUNICIPALITY_WIDE,C-M105-11,有害ごみ,#FFFFFF,#8C8C8C,#000000,OFFICIAL_DERIVED,公式色名と指定袋画像,STY-M105-005,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,白色という公式記載を確認し、表示値はPDF画像からの近似値。自治体公式HEXではない。
STP-M106-01,8,M106,MUNICIPALITY_WIDE,C-M106-01,燃えるごみ,,,,NOT_CONFIRMED,公式ポスターは白地で専用色を識別できない,,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,単なる紙面地色を公式分別色にしない。 UI接続時はFALLBACKを別状態として適用する。
STP-M106-02,8,M106,MUNICIPALITY_WIDE,C-M106-02,古紙類,#F3E8B8,#868065,#000000,OFFICIAL_DERIVED,公式ポスターの区分背景帯,STY-M106-002,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STP-M106-03,8,M106,MUNICIPALITY_WIDE,C-M106-03,容器包装類,,,,NOT_CONFIRMED,投影親の子区分で桃色と青色が併存,,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,単一の親色を確認できない。空欄を維持し推測しない。 UI接続時はFALLBACKを別状態として適用する。
STP-M106-07,8,M106,MUNICIPALITY_WIDE,C-M106-07,燃えないごみ,#2C6AAC,#183A5F,#FFFFFF,OFFICIAL_DERIVED,公式ポスターで4子区分に反復する青色,STY-M106-004,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STP-M106-12,8,M106,MUNICIPALITY_WIDE,C-M106-12,有害ごみ,#D4C32A,#756B17,#000000,OFFICIAL_DERIVED,公式ポスターの区分背景帯,STY-M106-005,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STP-M109-01,9,M109,MUNICIPALITY_WIDE,C-M109-01,可燃ごみ,#E50713,#7E040A,#FFFFFF,OFFICIAL_DERIVED,公式資料のステーション識別帯,STY-M109-001,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STP-M109-02,9,M109,MUNICIPALITY_WIDE,C-M109-02,埋立ごみ,#8D4C9B,#4E2A55,#FFFFFF,OFFICIAL_DERIVED,公式資料の区分識別帯,STY-M109-002,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STP-M109-03,9,M109,MUNICIPALITY_WIDE,C-M109-03,資源物,,,,NOT_CONFIRMED,同一category内で緑・青・黄橙の意味色が併存,,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,単一色へ誤統合せず未確認とする。 UI接続時はFALLBACKを別状態として適用する。
STP-M109-09,9,M109,MUNICIPALITY_WIDE,C-M109-09,有害ごみ,#4CA13C,#2A5921,#000000,OFFICIAL_DERIVED,公式資料の区分識別帯,STY-M109-004,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STP-M107-01,10,M107,MUNICIPALITY_WIDE,C-M107-01,燃えるごみ,#E63C12,#7F210A,#000000,OFFICIAL_DERIVED,令和8年度公式ポスターの区分帯,STY-M107-001,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STP-M107-02,10,M107,MUNICIPALITY_WIDE,C-M107-02,燃えないごみ（埋立てるごみ）,#1E5AA8,#10325C,#FFFFFF,OFFICIAL_DERIVED,令和8年度公式ポスターの区分帯,STY-M107-002,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STP-M107-05,10,M107,MUNICIPALITY_WIDE,C-M107-05,資源ごみ（びん・缶）,#009E70,#00573E,#000000,OFFICIAL_DERIVED,令和8年度公式ポスターの区分帯,STY-M107-003,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STP-M107-06,10,M107,MUNICIPALITY_WIDE,C-M107-06,資源ごみ（古紙・布類）,#009E70,#00573E,#000000,OFFICIAL_DERIVED,令和8年度公式ポスターの区分帯,STY-M107-004,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STP-M107-07,10,M107,MUNICIPALITY_WIDE,C-M107-07,資源ごみ（ペットボトル）,#009E70,#00573E,#000000,OFFICIAL_DERIVED,令和8年度公式ポスターの区分帯,STY-M107-005,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STP-M107-08,10,M107,MUNICIPALITY_WIDE,C-M107-08,有害・危険ごみ,#92278F,#50154F,#FFFFFF,OFFICIAL_DERIVED,令和8年度公式ポスターの区分帯,STY-M107-006,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
APP-STP-M099-01,2,M099,MUNICIPALITY_WIDE,C-M099-01,燃やせるごみ,#E85D7F,#803346,#000000,OFFICIAL_DERIVED,福山市公式B3ポスター市内版・左端分別区分帯の視覚表現（APP_READY後UI投影）,,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-31,OPENAI_M099_APP_READY_STYLE_HOTFIX,PDF画像からの近似値。自治体公式HEXではない。source=SS-M099-01。M099 APP_READY後のUI投影であり、色を分別正答の根拠には使用しない。地域版で別の公式色が確認された場合はstyle_district_scopeで上書きする。
APP-STP-M099-02,2,M099,MUNICIPALITY_WIDE,C-M099-02,容器包装プラスチックごみ,#6F79B8,#3D4365,#000000,OFFICIAL_DERIVED,福山市公式B3ポスター市内版・左端分別区分帯の視覚表現（APP_READY後UI投影）,,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-31,OPENAI_M099_APP_READY_STYLE_HOTFIX,PDF画像からの近似値。自治体公式HEXではない。source=SS-M099-01。M099 APP_READY後のUI投影であり、色を分別正答の根拠には使用しない。地域版で別の公式色が確認された場合はstyle_district_scopeで上書きする。
APP-STP-M099-03,2,M099,MUNICIPALITY_WIDE,C-M099-03,紙類,#D4A515,#755B0C,#000000,OFFICIAL_DERIVED,福山市公式B3ポスター市内版・左端分別区分帯の視覚表現（APP_READY後UI投影）,,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-31,OPENAI_M099_APP_READY_STYLE_HOTFIX,PDF画像からの近似値。自治体公式HEXではない。source=SS-M099-01。M099 APP_READY後のUI投影であり、色を分別正答の根拠には使用しない。地域版で別の公式色が確認された場合はstyle_district_scopeで上書きする。
APP-STP-M099-04,2,M099,MUNICIPALITY_WIDE,C-M099-04,資源ごみ,#75B72C,#406518,#000000,OFFICIAL_DERIVED,福山市公式B3ポスター市内版・左端分別区分帯の視覚表現（APP_READY後UI投影）,,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-31,OPENAI_M099_APP_READY_STYLE_HOTFIX,PDF画像からの近似値。自治体公式HEXではない。source=SS-M099-01。M099 APP_READY後のUI投影であり、色を分別正答の根拠には使用しない。地域版で別の公式色が確認された場合はstyle_district_scopeで上書きする。
APP-STP-M099-05,2,M099,MUNICIPALITY_WIDE,C-M099-05,不燃（破砕）ごみ,#8C6F54,#4D3D2E,#FFFFFF,OFFICIAL_DERIVED,福山市公式B3ポスター市内版・左端分別区分帯の視覚表現（APP_READY後UI投影）,,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-31,OPENAI_M099_APP_READY_STYLE_HOTFIX,PDF画像からの近似値。自治体公式HEXではない。source=SS-M099-01。M099 APP_READY後のUI投影であり、色を分別正答の根拠には使用しない。地域版で別の公式色が確認された場合はstyle_district_scopeで上書きする。
APP-STP-M099-06,2,M099,MUNICIPALITY_WIDE,C-M099-06,燃やせる粗大ごみ,#D87920,#774312,#000000,OFFICIAL_DERIVED,福山市公式B3ポスター市内版・左端分別区分帯の視覚表現（APP_READY後UI投影）,,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-31,OPENAI_M099_APP_READY_STYLE_HOTFIX,PDF画像からの近似値。自治体公式HEXではない。source=SS-M099-01。M099 APP_READY後のUI投影であり、色を分別正答の根拠には使用しない。地域版で別の公式色が確認された場合はstyle_district_scopeで上書きする。
APP-STP-M099-07,2,M099,MUNICIPALITY_WIDE,C-M099-07,使用済乾電池等,#E4A72B,#7D5C18,#000000,OFFICIAL_DERIVED,福山市公式B3ポスター市内版・左端特殊品目共有帯の視覚表現（APP_READY後UI投影）,,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-31,OPENAI_M099_APP_READY_STYLE_HOTFIX,PDF画像からの近似値。自治体公式HEXではない。source=SS-M099-01。M099 APP_READY後のUI投影であり、色を分別正答の根拠には使用しない。地域版で別の公式色が確認された場合はstyle_district_scopeで上書きする。
