pair_order,municipality_id,municipality_name,internal_item_id,canonical_name,display_name,review_status,evidence_basis,category_id,category_name,condition,preparation,exception_destination,item_evidence_source_id,item_evidence_url,item_evidence_locator,checked_date,reviewer,note
12,M095,呉市,I007,白色食品トレー,白いトレー,VERIFIED,OFFICIAL_CATEGORY_RULE,C-M095-04,プラスチック資源,プラスチック製の白色食品トレイ,中身を使い切り、汚れを落とす,汚れが落ちない物は燃えるごみ,IS-M095-03,https://www.city.kure.lg.jp/soshiki/19/gomidashinew-html.html,プラスチック資源欄（トレイ）,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,プラスチック資源の対象例と共通条件を適用。
13,M095,呉市,I013,新聞,新聞,VERIFIED,DIRECT_ITEM,C-M095-06,資源物（紙類）,新聞・折込広告,種類別にまとめ、ひもで十文字に縛る,汚れ・におい・防水加工等の禁忌紙は燃えるごみ,IS-M095-03,https://www.city.kure.lg.jp/soshiki/19/gomidashinew-html.html,資源物（紙類）欄（新聞）,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,紙類の具体的排出方法を採用。
14,M095,呉市,I004,アルミ缶,アルミ缶,VERIFIED,DIRECT_ITEM,C-M095-05,資源物（びん類・缶類・ペットボトル）,飲料・食品用のアルミ缶,中を洗う,スプレー缶は有害・危険ごみ,IS-M095-03,https://www.city.kure.lg.jp/soshiki/19/gomidashinew-html.html,資源物（缶類）欄,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,資源物の缶類を採用。
15,M095,呉市,I006,ガラスびん,びん,VERIFIED,DIRECT_ITEM,C-M095-05,資源物（びん類・缶類・ペットボトル）,飲料・食品用のガラスびん,ふたを外して中を洗う,割れたびん・耐熱ガラス等は燃えないごみ,IS-M095-03,https://www.city.kure.lg.jp/soshiki/19/gomidashinew-html.html,資源物（びん類）欄,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,資源物のびん類を採用。
16,M095,呉市,I031,電球,電球,VERIFIED,DIRECT_ITEM,C-M095-02,燃えないごみ,白熱電球・LED電球,割れないよう購入時の箱等に入れる,蛍光管・電球形蛍光灯は有害・危険ごみ,IS-M095-03,https://www.city.kure.lg.jp/soshiki/19/gomidashinew-html.html,燃えないごみ欄（電球・LED電球）,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,電球と蛍光管の区別を保持。
17,M095,呉市,I029,モバイルバッテリー,モバイルバッテリー,VERIFIED,DIRECT_ITEM,C-M095-07,有害・危険ごみ,小型充電式電池を内蔵するモバイルバッテリー,端子を絶縁する,膨張・破損品は他の物と分けて市の案内に従う,IS-M095-03,https://www.city.kure.lg.jp/soshiki/19/gomidashinew-html.html,有害・危険ごみ欄（小型充電式電池・モバイルバッテリー）,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,有害・危険ごみの品目例を採用。
18,M095,呉市,I014,段ボール,段ボール,VERIFIED,DIRECT_ITEM,C-M095-06,資源物（紙類）,家庭から出るダンボール,折りたたみ、ひもで十文字に縛る,汚れ・におい・防水加工のある物は燃えるごみ,IS-M095-03,https://www.city.kure.lg.jp/soshiki/19/gomidashinew-html.html,資源物（紙類）欄（ダンボール）,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,紙類の具体的排出方法を採用。
19,M095,呉市,I033,使い捨てライター,ライター,VERIFIED,DIRECT_ITEM,C-M095-07,有害・危険ごみ,中身を使い切った使い捨てライター,ガスを使い切り、他のごみと分ける,中身が残る場合は市へ相談,IS-M095-03,https://www.city.kure.lg.jp/soshiki/19/gomidashinew-html.html,有害・危険ごみ欄（ライター）,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,有害・危険ごみの品目例を採用。
20,M095,呉市,I017,紙パック,牛乳パック,VERIFIED,DIRECT_ITEM,C-M095-06,資源物（紙類）,内側が白い紙パック,洗い、切り開き、乾かして、ひもで縛る,内側がアルミ加工の物は燃えるごみ,IS-M095-03,https://www.city.kure.lg.jp/soshiki/19/gomidashinew-html.html,資源物（紙類）欄（紙パック）,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,紙パック固有の洗浄・展開条件を採用。
21,M097,三原市,I001,ペットボトル,ペットボトル,VERIFIED,OFFICIAL_CATEGORY_RULE,C-M097-04,ペットボトル,PETマークのある飲料・調味料用ボトル,キャップとラベルを外し、中を洗う,対象外ボトルは容器包装プラスチック又はもやすごみ,S-M097-01,https://www.city.mihara.hiroshima.jp/soshiki/23/112554.html,ペットボトル欄,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,現行区分の対象条件を採用。
22,M097,三原市,I007,白色食品トレー,白いトレー,VERIFIED,DIRECT_ITEM,C-M097-05,容器包装プラスチック,プラマークのある白色食品トレイ,中身を除き、汚れを落とす,汚れが取れない物はもやすごみ,IS-M097-04,https://www.city.mihara.hiroshima.jp/soshiki/23/112724.html,「食品用トレイ」の行,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,50音順一覧の品目行を採用。
23,M097,三原市,I013,新聞,新聞,VERIFIED,DIRECT_ITEM,C-M097-01,もやすごみ,家庭から出る新聞紙,指定袋に入る大きさにまとめる,地域の資源回収を利用できる場合は資源回収を優先,IS-M097-04,https://www.city.mihara.hiroshima.jp/soshiki/23/112724.html,「新聞紙」の行,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,市収集での分別先を採用。
24,M097,三原市,I004,アルミ缶,アルミ缶,VERIFIED,DIRECT_ITEM,C-M097-03,びん・飲料缶,飲料用のアルミ缶,中を洗う,飲料缶以外の金属容器は不燃物,S-M097-01,https://www.city.mihara.hiroshima.jp/soshiki/23/112554.html,びん・飲料缶欄（アルミ缶）,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,現行区分名が飲料缶を明示。
25,M097,三原市,I006,ガラスびん,びん,VERIFIED,DIRECT_ITEM,C-M097-03,びん・飲料缶,飲料・食品用のガラスびん,ふたを外し、中を洗う,割れたびん等は不燃物,S-M097-01,https://www.city.mihara.hiroshima.jp/soshiki/23/112554.html,びん・飲料缶欄,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,現行区分名がびんを明示。
26,M097,三原市,I031,電球,電球,VERIFIED,DIRECT_ITEM,C-M097-09,蛍光灯（有害ごみ）,家庭用の電球,割れないよう購入時の箱等に入れる,LED電球等は一覧の材質・製品区分に従う,IS-M097-06,https://www.city.mihara.hiroshima.jp/soshiki/23/112728.html,「電球」の行,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,50音順一覧の電球行を採用。
27,M097,三原市,I029,モバイルバッテリー,モバイルバッテリー,VERIFIED,OFFICIAL_CATEGORY_RULE,C-M097-08,電池の外せない小型家電・充電式小型家電,充電池を内蔵し取り外せないモバイルバッテリー,端子を絶縁し、他のごみと分ける,取り外せる電池は電池区分へ,S-M097-01,https://www.city.mihara.hiroshima.jp/soshiki/23/112554.html,電池の外せない小型家電・充電式小型家電欄,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,充電式小型家電の公式区分定義を適用。
28,M097,三原市,I014,段ボール,段ボール,VERIFIED,DIRECT_ITEM,C-M097-01,もやすごみ,家庭から出るダンボール,指定袋に入る大きさにする,地域の資源回収を利用できる場合は資源回収を優先,IS-M097-05,https://www.city.mihara.hiroshima.jp/soshiki/23/112725.html,「ダンボール」の行,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,50音順一覧の品目行を採用。
29,M097,三原市,I033,使い捨てライター,ライター,VERIFIED,DIRECT_ITEM,C-M097-06,発火性危険ごみ,中身を使い切った使い捨てライター,ガスを使い切り、他のごみと分ける,中身が残る場合は市へ相談,S-M097-01,https://www.city.mihara.hiroshima.jp/soshiki/23/112554.html,発火性危険ごみ欄（ライター）,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,現行の発火性危険ごみ例を採用。
30,M097,三原市,I017,紙パック,牛乳パック,VERIFIED,DIRECT_ITEM,C-M097-01,もやすごみ,家庭から出る紙パック,中を洗い、開いて乾かす,店頭・地域の資源回収を利用できる場合はそちらを優先,IS-M097-03,https://www.city.mihara.hiroshima.jp/soshiki/23/112720.html,「紙パック」「牛乳パック」の行,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,50音順一覧の市収集区分を採用。
31,M104,東広島市,I001,ペットボトル,ペットボトル,VERIFIED,DIRECT_ITEM,C-M104-08,ペットボトル,PETマークのある飲料・特定調味料用ボトル,キャップとラベルを外し、中を洗う,対象外のプラスチックボトルはリサイクルプラ又はその他プラ,IS-M104-04,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_all.pdf,ごみブック「ペットボトル」欄,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,公式ごみブックの品目欄を採用。
32,M104,東広島市,I007,白色食品トレー,白いトレー,VERIFIED,DIRECT_ITEM,C-M104-09,リサイクルプラ,プラマークのある白色食品トレイ,中身を除き、洗って乾かす,汚れが落ちない物は燃やせるごみ,IS-M104-04,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_all.pdf,ごみブック「白色トレイ」欄,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,公式ごみブックの品目欄を採用。
33,M104,東広島市,I013,新聞,新聞,VERIFIED,DIRECT_ITEM,C-M104-05,新聞,新聞・折込広告,ひもで縛る,汚れた紙は燃やせるごみ,IS-M104-04,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_all.pdf,ごみブック「新聞」欄,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,公式ごみブックの品目欄を採用。
34,M104,東広島市,I004,アルミ缶,アルミ缶,VERIFIED,DIRECT_ITEM,C-M104-07,ビン・缶,飲料・食品用のアルミ缶,中を洗う,スプレー缶は有害ごみ,IS-M104-04,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_all.pdf,ごみブック「アルミ缶」欄,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,公式ごみブックの品目欄を採用。
35,M104,東広島市,I006,ガラスびん,びん,VERIFIED,DIRECT_ITEM,C-M104-07,ビン・缶,飲料・食品用のガラスびん,ふたを外し、中を洗う,割れたびん・耐熱ガラス等は危険ごみ等の該当区分,IS-M104-04,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_all.pdf,ごみブック「ビン」欄,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,公式ごみブックの品目欄を採用。
36,M104,東広島市,I031,電球,電球,VERIFIED,DIRECT_ITEM,C-M104-10,有害ごみ,家庭用の電球,割れないよう箱等に入れる,製品種別により危険ごみ又は有害ごみの案内に従う,IS-M104-04,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_all.pdf,ごみブック「電球」欄,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,公式ごみブックの品目欄を採用。
37,M104,東広島市,I029,モバイルバッテリー,モバイルバッテリー,VERIFIED,DIRECT_ITEM,C-M104-10,有害ごみ,家庭で使用したモバイルバッテリー,端子をテープで絶縁する,膨張・破損品は市の個別案内に従う,IS-M104-05,https://www.city.higashihiroshima.lg.jp/soshiki/seikatsukankyo/8/4/1/21260.html,モバイルバッテリーの出し方欄,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,小型充電式電池の専用公式案内を採用。
38,M104,東広島市,I014,段ボール,段ボール,VERIFIED,DIRECT_ITEM,C-M104-06,雑誌・雑がみ・ダンボール,家庭から出るダンボール,折りたたみ、ひもで縛る,汚れた物は燃やせるごみ,IS-M104-06,https://www.city.higashihiroshima.lg.jp/soshiki/seikatsukankyo/8/4/1/15033.html,ダンボールの出し方欄,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,資源紙の専用公式案内を採用。
39,M104,東広島市,I033,使い捨てライター,ライター,VERIFIED,DIRECT_ITEM,C-M104-10,有害ごみ,中身を使い切った使い捨てライター,ガスを使い切り、他のごみと分ける,中身が残る場合は市へ相談,IS-M104-04,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_all.pdf,ごみブック「ライター」欄,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,公式ごみブックの品目欄を採用。
40,M104,東広島市,I017,紙パック,牛乳パック,VERIFIED,OFFICIAL_CATEGORY_RULE,C-M104-06,雑誌・雑がみ・ダンボール,紙製容器包装として回収可能な紙パック,中を洗い、開いて乾かす,内側アルミ加工や汚れた物は燃やせるごみ,IS-M104-06,https://www.city.higashihiroshima.lg.jp/soshiki/seikatsukankyo/8/4/1/15033.html,雑誌・雑がみ・ダンボール欄（紙パックの例示）,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,紙資源の公式対象例と条件を適用。
41,M105,廿日市市,I001,ペットボトル,ペットボトル,VERIFIED,DIRECT_ITEM,C-M105-04,資源ごみ(2) ペットボトルなどプラスチック製の容器（限定7品目）,限定7品目に該当するPETマーク付きボトル,キャップとラベルを外し、中を洗う,対象外又は汚れが落ちない物は燃やせるごみ,S-M105-02,https://www.city.hatsukaichi.hiroshima.jp/soshiki/31/78355.html,ペットボトルの行,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,令和8年4月版一覧表の品目行を採用。
42,M105,廿日市市,I007,白色食品トレー,白いトレー,VERIFIED,DIRECT_ITEM,C-M105-04,資源ごみ(2) ペットボトルなどプラスチック製の容器（限定7品目）,白色の発泡スチロール製食品トレイ,中身を除き、洗って乾かす,色柄・透明トレイや汚れた物は燃やせるごみ,S-M105-02,https://www.city.hatsukaichi.hiroshima.jp/soshiki/31/78355.html,白色トレイの行,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,限定7品目の白色トレイ条件を採用。
43,M105,廿日市市,I013,新聞,新聞,VERIFIED,DIRECT_ITEM,C-M105-05,資源ごみ(3) 紙類,新聞・折込広告,種類別にまとめ、ひもで縛る,汚れた紙・禁忌紙は燃やせるごみ,S-M105-02,https://www.city.hatsukaichi.hiroshima.jp/soshiki/31/78355.html,新聞の行,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,令和8年4月版一覧表の品目行を採用。
44,M105,廿日市市,I004,アルミ缶,アルミ缶,VERIFIED,DIRECT_ITEM,C-M105-03,資源ごみ(1) びん・かん類,飲料・食品用のアルミ缶,中を洗う,スプレー缶は別の公式区分に従う,S-M105-02,https://www.city.hatsukaichi.hiroshima.jp/soshiki/31/78355.html,アルミ缶の行,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,令和8年4月版一覧表の品目行を採用。
45,M105,廿日市市,I006,ガラスびん,びん,VERIFIED,DIRECT_ITEM,C-M105-03,資源ごみ(1) びん・かん類,飲料・食品用のガラスびん,ふたを外し、中を洗う,割れたびん・耐熱ガラス等は埋立ごみ,S-M105-02,https://www.city.hatsukaichi.hiroshima.jp/soshiki/31/78355.html,ガラスびんの行,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,令和8年4月版一覧表の品目行を採用。
46,M105,廿日市市,I031,電球,電球,VERIFIED,DIRECT_ITEM,C-M105-08,埋立ごみ,白熱電球・LED電球,割れないよう箱等に入れる,蛍光管・電球形蛍光灯は有害ごみ,S-M105-02,https://www.city.hatsukaichi.hiroshima.jp/soshiki/31/78355.html,電球の行,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,製品種別による分岐を保持。
47,M105,廿日市市,I029,モバイルバッテリー,モバイルバッテリー,VERIFIED,DIRECT_ITEM,C-M105-11,有害ごみ,家庭用モバイルバッテリー,端子をテープで絶縁する,膨張・破損品は市の案内に従う,S-M105-02,https://www.city.hatsukaichi.hiroshima.jp/soshiki/31/78355.html,モバイルバッテリーの行,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,令和8年4月版一覧表の品目行を採用。
48,M105,廿日市市,I014,段ボール,段ボール,VERIFIED,DIRECT_ITEM,C-M105-05,資源ごみ(3) 紙類,家庭から出るダンボール,折りたたみ、ひもで縛る,汚れた物は燃やせるごみ,S-M105-02,https://www.city.hatsukaichi.hiroshima.jp/soshiki/31/78355.html,ダンボールの行,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,令和8年4月版一覧表の品目行を採用。
49,M105,廿日市市,I033,使い捨てライター,ライター,VERIFIED,DIRECT_ITEM,C-M105-08,埋立ごみ,中身を使い切った使い捨てライター,ガスを使い切り、他のごみと分ける,中身が残る場合は市へ相談,S-M105-02,https://www.city.hatsukaichi.hiroshima.jp/soshiki/31/78355.html,ライターの行,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,令和8年4月版一覧表の品目行を採用。
50,M105,廿日市市,I017,紙パック,牛乳パック,VERIFIED,DIRECT_ITEM,C-M105-05,資源ごみ(3) 紙類,内側が白い紙パック,洗い、開いて乾かし、ひもで縛る,内側アルミ加工や汚れた物は燃やせるごみ,S-M105-02,https://www.city.hatsukaichi.hiroshima.jp/soshiki/31/78355.html,紙パックの行,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,令和8年4月版一覧表の品目行を採用。
51,M106,安芸高田市,I001,ペットボトル,ペットボトル,VERIFIED,DIRECT_ITEM,C-M106-06,ペットボトル,PETマークのある飲料・特定調味料用ボトル,キャップとラベルを外し、中を洗う,汚れが落ちない物は燃えるごみ,S-M106-01,https://www.akitakata.jp/ja/shisei/section/siminseikatu/gomi22/,ペットボトル欄,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,公式家庭ごみページの品目欄を採用。
52,M106,安芸高田市,I007,白色食品トレー,白いトレー,VERIFIED,OFFICIAL_CATEGORY_RULE,C-M106-05,プラスチック製容器包装,プラマークのある白色食品トレイ,中身を除き、洗って乾かす,汚れが落ちない物は燃えるごみ,S-M106-01,https://www.akitakata.jp/ja/shisei/section/siminseikatu/gomi22/,プラスチック製容器包装欄（食品トレイ）,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,公式対象例と共通条件を適用。
53,M106,安芸高田市,I013,新聞,新聞,VERIFIED,DIRECT_ITEM,C-M106-02,古紙類,新聞・折込広告,種類別にまとめ、ひもで縛る,汚れた紙・禁忌紙は燃えるごみ,S-M106-01,https://www.akitakata.jp/ja/shisei/section/siminseikatu/gomi22/,古紙類欄（新聞）,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,公式家庭ごみページの品目欄を採用。
54,M106,安芸高田市,I004,アルミ缶,アルミ缶,VERIFIED,DIRECT_ITEM,C-M106-08,かん類,飲料・食品用のアルミ缶,中を洗う,スプレー缶は有害ごみ,S-M106-01,https://www.akitakata.jp/ja/shisei/section/siminseikatu/gomi22/,かん類欄,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,公式家庭ごみページの品目欄を採用。
55,M106,安芸高田市,I006,ガラスびん,びん,VERIFIED,DIRECT_ITEM,C-M106-09,びん類,飲料・食品用のガラスびん,ふたを外し、中を洗う,割れたびん等は陶器・ガラス類,S-M106-01,https://www.akitakata.jp/ja/shisei/section/siminseikatu/gomi22/,びん類欄,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,公式家庭ごみページの品目欄を採用。
56,M106,安芸高田市,I031,電球,電球,VERIFIED,DIRECT_ITEM,C-M106-12,有害ごみ,家庭用電球,割れないよう箱等に入れる,製品種別により燃えないごみ又は有害ごみの案内に従う,S-M106-01,https://www.akitakata.jp/ja/shisei/section/siminseikatu/gomi22/,有害ごみ欄（電球）,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,公式家庭ごみページの品目欄を採用。
57,M106,安芸高田市,I029,モバイルバッテリー,モバイルバッテリー,VERIFIED,OFFICIAL_CATEGORY_RULE,C-M106-12,有害ごみ,小型充電式電池を内蔵するモバイルバッテリー,端子をテープで絶縁する,膨張・破損品は市へ相談,S-M106-01,https://www.akitakata.jp/ja/shisei/section/siminseikatu/gomi22/,有害ごみ欄（小型充電式電池）,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,小型充電式電池の公式ルールを適用。
58,M106,安芸高田市,I014,段ボール,段ボール,VERIFIED,DIRECT_ITEM,C-M106-02,古紙類,家庭から出るダンボール,折りたたみ、ひもで縛る,汚れた物は燃えるごみ,S-M106-01,https://www.akitakata.jp/ja/shisei/section/siminseikatu/gomi22/,古紙類欄（ダンボール）,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,公式家庭ごみページの品目欄を採用。
59,M106,安芸高田市,I033,使い捨てライター,ライター,VERIFIED,DIRECT_ITEM,C-M106-10,小型家電、電源コード、金物など,中身を使い切った使い捨てライター,ガスを使い切り、他のごみと分ける,中身が残る場合は市へ相談,S-M106-01,https://www.akitakata.jp/ja/shisei/section/siminseikatu/gomi22/,小型家電、電源コード、金物など欄（ライター）,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,公式家庭ごみページの品目欄を採用。
60,M106,安芸高田市,I017,紙パック,牛乳パック,VERIFIED,DIRECT_ITEM,C-M106-04,紙パック,内側が白い紙パック,洗い、開いて乾かす,内側アルミ加工や汚れた物は燃えるごみ,S-M106-01,https://www.akitakata.jp/ja/shisei/section/siminseikatu/gomi22/,紙パック欄,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,公式家庭ごみページの専用区分を採用。
61,M107,江田島市,I001,ペットボトル,ペットボトル,VERIFIED,DIRECT_ITEM,C-M107-07,資源ごみ（ペットボトル）,PETマークのある飲料・特定調味料用ボトル,キャップとラベルを外し、中を洗う,汚れが落ちない物は燃えるごみ,S-M107-01,https://www.city.etajima.hiroshima.jp/cms/articles/download/11923/1/R8_nihonngo.pdf,資源ごみ（ペットボトル）欄,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,令和8年度改定版の区分欄を採用。
