district_scope_id,municipality_id,district_name,lesson_variant_group_id,display_order,learner_visible,official_source_id,official_url,official_locator,fixed_10_answer_set_id,fixed_10_confirmation_status,i031_answer_family,i031_evidence_source_id,i031_evidence_url,i031_evidence_locator,note
DS-M076-01,M076,資源回収ステーション設置地域,LV-M076-01,1,FALSE,S-M076-01,https://www.city.bizen.okayama.jp/soshiki/12/5401.html,ページ本文「資源回収ステーションが設置されている地区／されていない地区」,M076-FIXED10-23,CONFIRMED,びん類 その他,S-M076-04,https://www.city.bizen.okayama.jp/uploaded/attachment/18508.pdf,品目別分別一覧「電球」,fixed10の正答が同じ地区は1 learner groupへ統合
DS-M076-02,M076,資源回収ステーション未設置地域,LV-M076-02,2,FALSE,S-M076-01,https://www.city.bizen.okayama.jp/soshiki/12/5401.html,ページ本文「資源回収ステーションが設置されている地区／されていない地区」,M076-FIXED10-OLD,CONFIRMED,取扱注意ごみ,S-M076-03,https://www.city.bizen.okayama.jp/uploaded/attachment/28814.pdf,2頁「取扱注意ごみ」,fixed10の正答が同じ地区は1 learner groupへ統合
DS-M100-01,M100,府中地区,LV-M100-01,1,FALSE,S-M100-01,https://www.city.fuchu.hiroshima.jp/kurashi/gomi_kankyo/gomi/nittei2/8752.html,ページ本文・地区別カレンダー導線,M100-FIXED10-FUCHU,CONFIRMED,埋立ごみ,S-M100-03,https://www.city.fuchu.hiroshima.jp/material/files/group/16/FuchuBunbetsuGaido_50on.pdf,50音順「電球」,fixed10の正答が同じ地区は1 learner groupへ統合
DS-M100-02,M100,上下地区,LV-M100-02,2,FALSE,S-M100-01,https://www.city.fuchu.hiroshima.jp/kurashi/gomi_kankyo/gomi/nittei2/8752.html,ページ本文・地区別カレンダー導線,M100-FIXED10-JOGE,CONFIRMED,埋立ごみ,S-M100-03,https://www.city.fuchu.hiroshima.jp/material/files/group/16/FuchuBunbetsuGaido_50on.pdf,50音順「電球」,fixed10の正答が同じ地区は1 learner groupへ統合
DS-M120-01,M120,本土側（教材対象）,LV-M120-01,1,FALSE,S-M120-02,https://www.city.hagi.lg.jp/soshiki/32/h69429.html,本土側カレンダー導線。島しょ部は教材対象外,M120-FIXED10-MAINLAND,CONFIRMED,燃やせない,S-M120-01,https://www.city.hagi.lg.jp/soshiki/32/h62019.html,50音順「電球」,fixed10の正答が同じ地区は1 learner groupへ統合
DS-M123-01,M123,岩国,LV-M123-01,1,FALSE,S-M123-01,https://www.city.iwakuni.lg.jp/soshiki/23/113972.html,ページ本文「地域を選択してください」,M123-FIXED10-A,CONFIRMED,金属類及び破砕ごみ,S-M123-06,https://www.city.iwakuni.lg.jp/soshiki/23/47985.html,品目例「白熱球・LED」,fixed10の正答が同じ地区は1 learner groupへ統合
DS-M123-02,M123,由宇,LV-M123-01,2,FALSE,S-M123-01,https://www.city.iwakuni.lg.jp/soshiki/23/113972.html,ページ本文「地域を選択してください」,M123-FIXED10-A,CONFIRMED,金属類及び破砕ごみ,S-M123-06,https://www.city.iwakuni.lg.jp/soshiki/23/47985.html,品目例「白熱球・LED」,fixed10の正答が同じ地区は1 learner groupへ統合
DS-M123-03,M123,周東,LV-M123-01,3,FALSE,S-M123-01,https://www.city.iwakuni.lg.jp/soshiki/23/113972.html,ページ本文「地域を選択してください」,M123-FIXED10-A,CONFIRMED,金属類及び破砕ごみ,S-M123-06,https://www.city.iwakuni.lg.jp/soshiki/23/47985.html,品目例「白熱球・LED」,fixed10の正答が同じ地区は1 learner groupへ統合
DS-M123-04,M123,玖珂,LV-M123-01,4,FALSE,S-M123-01,https://www.city.iwakuni.lg.jp/soshiki/23/113972.html,ページ本文「地域を選択してください」,M123-FIXED10-A,CONFIRMED,金属類及び破砕ごみ,S-M123-06,https://www.city.iwakuni.lg.jp/soshiki/23/47985.html,品目例「白熱球・LED」,fixed10の正答が同じ地区は1 learner groupへ統合
DS-M123-05,M123,錦,LV-M123-02,5,FALSE,S-M123-01,https://www.city.iwakuni.lg.jp/soshiki/23/113972.html,ページ本文「地域を選択してください」,M123-FIXED10-B,CONFIRMED,金属類及び破砕ごみ,S-M123-06,https://www.city.iwakuni.lg.jp/soshiki/23/47985.html,品目例「白熱球・LED」,fixed10の正答が同じ地区は1 learner groupへ統合
DS-M123-06,M123,美川,LV-M123-02,6,FALSE,S-M123-01,https://www.city.iwakuni.lg.jp/soshiki/23/113972.html,ページ本文「地域を選択してください」,M123-FIXED10-B,CONFIRMED,金属類及び破砕ごみ,S-M123-06,https://www.city.iwakuni.lg.jp/soshiki/23/47985.html,品目例「白熱球・LED」,fixed10の正答が同じ地区は1 learner groupへ統合
DS-M123-07,M123,美和,LV-M123-02,7,FALSE,S-M123-01,https://www.city.iwakuni.lg.jp/soshiki/23/113972.html,ページ本文「地域を選択してください」,M123-FIXED10-B,CONFIRMED,金属類及び破砕ごみ,S-M123-06,https://www.city.iwakuni.lg.jp/soshiki/23/47985.html,品目例「白熱球・LED」,fixed10の正答が同じ地区は1 learner groupへ統合
DS-M123-08,M123,本郷,LV-M123-02,8,FALSE,S-M123-01,https://www.city.iwakuni.lg.jp/soshiki/23/113972.html,ページ本文「地域を選択してください」,M123-FIXED10-B,CONFIRMED,金属類及び破砕ごみ,S-M123-06,https://www.city.iwakuni.lg.jp/soshiki/23/47985.html,品目例「白熱球・LED」,fixed10の正答が同じ地区は1 learner groupへ統合
DS-M127-01,M127,美祢,LV-M127-01,1,FALSE,S-M127-05,https://www2.city.mine.lg.jp/kurashi_tetsuzuki/gomi_recycling/kateigomi/13250.html,ページ全体,M127-FIXED10-MINE,CONFIRMED,リサイクルステーション,S-M127-02,https://www2.city.mine.lg.jp/material/files/group/11/R6_guidemine.pdf,分別一覧「電球」,fixed10の正答が同じ地区は1 learner groupへ統合
DS-M127-02,M127,美東,LV-M127-02,2,FALSE,S-M127-06,https://www2.city.mine.lg.jp/kurashi_tetsuzuki/gomi_recycling/kateigomi/13252.html,ページ全体,M127-FIXED10-MITOU,CONFIRMED,有害ごみ,S-M127-03,https://www2.city.mine.lg.jp/material/files/group/11/R6_guidemitou.pdf,分別一覧「電球」,fixed10の正答が同じ地区は1 learner groupへ統合
DS-M127-03,M127,秋芳,LV-M127-03,3,FALSE,S-M127-07,https://www2.city.mine.lg.jp/kurashi_tetsuzuki/gomi_recycling/kateigomi/13253.html,ページ全体,M127-FIXED10-SHUUHOU,CONFIRMED,有害ごみ,S-M127-04,https://www2.city.mine.lg.jp/material/files/group/11/R6_guidesyuuhou.pdf,分別一覧「電球」,fixed10の正答が同じ地区は1 learner groupへ統合
DS-M136-01,M136,鴨島A,LV-M136-01,1,FALSE,S-M136-03,https://www.city.yoshinogawa.lg.jp/docs/2026030600018/,地区別カレンダー一覧,M136-FIXED10-COMMON,CONFIRMED,埋立・危険なごみ,S-M136-01,https://www.city.yoshinogawa.lg.jp/docs/2019092600010/,埋立・危険なごみ一例「電球」,fixed10の正答が同じ地区は1 learner groupへ統合
DS-M136-02,M136,鴨島B,LV-M136-01,2,FALSE,S-M136-03,https://www.city.yoshinogawa.lg.jp/docs/2026030600018/,地区別カレンダー一覧,M136-FIXED10-COMMON,CONFIRMED,埋立・危険なごみ,S-M136-01,https://www.city.yoshinogawa.lg.jp/docs/2019092600010/,埋立・危険なごみ一例「電球」,fixed10の正答が同じ地区は1 learner groupへ統合
DS-M136-03,M136,川島,LV-M136-01,3,FALSE,S-M136-03,https://www.city.yoshinogawa.lg.jp/docs/2026030600018/,地区別カレンダー一覧,M136-FIXED10-COMMON,CONFIRMED,埋立・危険なごみ,S-M136-01,https://www.city.yoshinogawa.lg.jp/docs/2019092600010/,埋立・危険なごみ一例「電球」,fixed10の正答が同じ地区は1 learner groupへ統合
DS-M136-04,M136,山川,LV-M136-01,4,FALSE,S-M136-03,https://www.city.yoshinogawa.lg.jp/docs/2026030600018/,地区別カレンダー一覧,M136-FIXED10-COMMON,CONFIRMED,埋立・危険なごみ,S-M136-01,https://www.city.yoshinogawa.lg.jp/docs/2019092600010/,埋立・危険なごみ一例「電球」,fixed10の正答が同じ地区は1 learner groupへ統合
DS-M136-05,M136,美郷,LV-M136-01,5,FALSE,S-M136-03,https://www.city.yoshinogawa.lg.jp/docs/2026030600018/,地区別カレンダー一覧,M136-FIXED10-COMMON,CONFIRMED,埋立・危険なごみ,S-M136-01,https://www.city.yoshinogawa.lg.jp/docs/2019092600010/,埋立・危険なごみ一例「電球」,fixed10の正答が同じ地区は1 learner groupへ統合
DS-M139-01,M139,旧丸亀地区,LV-M139-01,1,FALSE,S-M139-01,https://www.city.marugame.lg.jp/site/gomi-calendar/,地区別カレンダー一覧,M139-FIXED10-COMMON,CONFIRMED,不燃ごみ,S-M139-02,https://www.city.marugame.lg.jp/page/41602.html,品目検索「電球」,fixed10の正答が同じ地区は1 learner groupへ統合
DS-M139-02,M139,綾歌町・飯山町,LV-M139-01,2,FALSE,S-M139-01,https://www.city.marugame.lg.jp/site/gomi-calendar/,地区別カレンダー一覧,M139-FIXED10-COMMON,CONFIRMED,不燃ごみ,S-M139-02,https://www.city.marugame.lg.jp/page/41602.html,品目検索「電球」,fixed10の正答が同じ地区は1 learner groupへ統合
DS-M139-03,M139,島部等,LV-M139-01,3,FALSE,S-M139-01,https://www.city.marugame.lg.jp/site/gomi-calendar/,地区別カレンダー一覧,M139-FIXED10-COMMON,CONFIRMED,不燃ごみ,S-M139-02,https://www.city.marugame.lg.jp/page/41602.html,品目検索「電球」,fixed10の正答が同じ地区は1 learner groupへ統合
