municipality_id,internal_item_id,teaching_box_id,projection_kind,category_id,review_status,note
M108,I001,TB-M108-ON-01,OFFICIAL_CATEGORY,C-M108-09,COMPLETE,通常収集categoryを固定10品目採点箱へ投影
M108,I004,TB-M108-ON-04,OFFICIAL_CATEGORY,C-M108-06,COMPLETE,通常収集categoryを固定10品目採点箱へ投影
M108,I006,TB-M108-ON-04,OFFICIAL_CATEGORY,C-M108-06,COMPLETE,通常収集categoryを固定10品目採点箱へ投影
M108,I007,TB-M108-ON-02,OFFICIAL_CATEGORY,C-M108-11,COMPLETE,通常収集categoryを固定10品目採点箱へ投影
M108,I013,TB-M108-ON-03,OFFICIAL_CATEGORY,C-M108-03,COMPLETE,通常収集categoryを固定10品目採点箱へ投影
M108,I014,TB-M108-ON-07,OFFICIAL_CATEGORY,C-M108-04,COMPLETE,通常収集categoryを固定10品目採点箱へ投影
M108,I017,TB-M108-ON-09,OFFICIAL_CATEGORY,C-M108-10,COMPLETE,通常収集categoryを固定10品目採点箱へ投影
M108,I029,TB-M108-ON-06,OFFICIAL_CATEGORY,C-M108-08,COMPLETE,通常収集categoryを固定10品目採点箱へ投影
M108,I031,TB-M108-ON-05,OFFICIAL_CATEGORY,C-M108-07,COMPLETE,通常収集categoryを固定10品目採点箱へ投影
M108,I033,TB-M108-ON-08,OFFICIAL_CATEGORY,C-M108-01,COMPLETE,通常収集categoryを固定10品目採点箱へ投影
M109,I001,TB-M109-ON-01,OFFICIAL_CATEGORY,C-M109-07,COMPLETE,通常収集categoryを固定10品目採点箱へ投影
M109,I004,TB-M109-ON-04,OFFICIAL_CATEGORY,C-M109-04,COMPLETE,通常収集categoryを固定10品目採点箱へ投影
M109,I006,TB-M109-ON-05,OFFICIAL_CATEGORY,C-M109-05,COMPLETE,通常収集categoryを固定10品目採点箱へ投影
M109,I007,TB-M109-ON-02,OFFICIAL_CATEGORY,C-M109-08,COMPLETE,通常収集categoryを固定10品目採点箱へ投影
M109,I013,TB-M109-ON-03,OFFICIAL_CATEGORY,C-M109-06,COMPLETE,通常収集categoryを固定10品目採点箱へ投影
M109,I014,TB-M109-ON-03,OFFICIAL_CATEGORY,C-M109-06,COMPLETE,通常収集categoryを固定10品目採点箱へ投影
M109,I017,TB-M109-ON-03,OFFICIAL_CATEGORY,C-M109-06,COMPLETE,通常収集categoryを固定10品目採点箱へ投影
M109,I029,TB-M109-ON-06,OFFICIAL_CATEGORY,C-M109-09,COMPLETE,通常収集categoryを固定10品目採点箱へ投影
M109,I031,TB-M109-ON-07,OFFICIAL_CATEGORY,C-M109-02,COMPLETE,通常収集categoryを固定10品目採点箱へ投影
M109,I033,TB-M109-ON-08,OFFICIAL_CATEGORY,C-M109-03,COMPLETE,通常収集categoryを固定10品目採点箱へ投影
M110,I001,TB-M110-ON-01,OFFICIAL_CATEGORY,C-M110-02,COMPLETE,公式分別区分へ投影。
M110,I004,TB-M110-ON-02,OFFICIAL_CATEGORY,C-M110-03,COMPLETE,公式分別区分へ投影。
M110,I006,TB-M110-ON-02,OFFICIAL_CATEGORY,C-M110-03,COMPLETE,公式分別区分へ投影。
M110,I007,TB-M110-ON-01,OFFICIAL_CATEGORY,C-M110-02,COMPLETE,公式分別区分へ投影。
M110,I013,TB-M110-ON-01,OFFICIAL_CATEGORY,C-M110-02,COMPLETE,公式分別区分へ投影。
M110,I014,TB-M110-ON-01,OFFICIAL_CATEGORY,C-M110-02,COMPLETE,公式分別区分へ投影。
M110,I017,TB-M110-ON-01,OFFICIAL_CATEGORY,C-M110-02,COMPLETE,公式分別区分へ投影。
M110,I029,TB-M110-ON-05,SIMPLIFIED_ACTION,C-M110-07,COMPLETE,非通常収集経路を通常SORT_BUCKETへ誤投影しない。
M110,I031,TB-M110-ON-03,OFFICIAL_CATEGORY,C-M110-04,COMPLETE,公式分別区分へ投影。
M110,I033,TB-M110-ON-04,OFFICIAL_CATEGORY,C-M110-01,COMPLETE,公式分別区分へ投影。
M111,I001,TB-M111-ON-01,OFFICIAL_CATEGORY,C-M111-13,COMPLETE,公式分別区分へ投影。
M111,I004,TB-M111-ON-02,OFFICIAL_CATEGORY,C-M111-07,COMPLETE,公式分別区分へ投影。
M111,I006,TB-M111-ON-03,OFFICIAL_CATEGORY,C-M111-08,COMPLETE,公式分別区分へ投影。
M111,I007,TB-M111-ON-04,OFFICIAL_CATEGORY,C-M111-14,COMPLETE,公式分別区分へ投影。
M111,I013,TB-M111-ON-05,OFFICIAL_CATEGORY,C-M111-09,COMPLETE,公式分別区分へ投影。
M111,I014,TB-M111-ON-06,OFFICIAL_CATEGORY,C-M111-11,COMPLETE,公式分別区分へ投影。
M111,I017,TB-M111-ON-07,OFFICIAL_CATEGORY,C-M111-10,COMPLETE,公式分別区分へ投影。
M111,I029,TB-M111-ON-10,SIMPLIFIED_ACTION,C-M111-15,COMPLETE,非通常収集経路を通常SORT_BUCKETへ誤投影しない。
M111,I031,TB-M111-ON-08,OFFICIAL_CATEGORY,C-M111-05,COMPLETE,公式分別区分へ投影。
M111,I033,TB-M111-ON-09,OFFICIAL_CATEGORY,C-M111-01,COMPLETE,公式分別区分へ投影。
M112,I001,TB-M112-ON-01,OFFICIAL_CATEGORY,C-M112-13,COMPLETE,公式分別区分へ投影。
M112,I004,TB-M112-ON-02,OFFICIAL_CATEGORY,C-M112-03,COMPLETE,公式分別区分へ投影。
M112,I006,TB-M112-ON-03,OFFICIAL_CATEGORY,C-M112-04,COMPLETE,公式分別区分へ投影。
M112,I007,TB-M112-ON-04,OFFICIAL_CATEGORY,C-M112-14,COMPLETE,公式分別区分へ投影。
M112,I013,TB-M112-ON-05,OFFICIAL_CATEGORY,C-M112-05,COMPLETE,公式分別区分へ投影。
M112,I014,TB-M112-ON-05,OFFICIAL_CATEGORY,C-M112-05,COMPLETE,公式分別区分へ投影。
M112,I017,TB-M112-ON-05,OFFICIAL_CATEGORY,C-M112-05,COMPLETE,公式分別区分へ投影。
M112,I029,TB-M112-ON-06,OFFICIAL_CATEGORY,C-M112-09,COMPLETE,公式分別区分へ投影。
M112,I031,TB-M112-ON-06,OFFICIAL_CATEGORY,C-M112-09,COMPLETE,公式分別区分へ投影。
M112,I033,TB-M112-ON-06,OFFICIAL_CATEGORY,C-M112-09,COMPLETE,公式分別区分へ投影。
