municipality_id,teaching_box_id,class_mode,box_kind,category_id,display_name,display_order,note,style_source_category_ids,style_district_scope
M107,TB-M107-ON-02,ONLINE_CLASS,SIMPLIFIED_ACTION,C-M107-09,回収・確認,2,自治体正式区分ではない教材用簡略行動箱,,
M107,TB-M107-ON-03,ONLINE_CLASS,FIXED_10_SCORING,C-M107-06,資源ごみ（古紙・布類）,3,固定画像10品目の採点用,C-M107-06,MUNICIPALITY_WIDE
M107,TB-M107-ON-04,ONLINE_CLASS,FIXED_10_SCORING,C-M107-05,資源ごみ（びん・缶）,4,固定画像10品目の採点用,C-M107-05,MUNICIPALITY_WIDE
M107,TB-M107-ON-05,ONLINE_CLASS,FIXED_10_SCORING,C-M107-08,有害・危険ごみ,5,固定画像10品目の採点用,C-M107-08,MUNICIPALITY_WIDE
M107,TB-M107-IP-01,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M107-01,燃えるごみ,1,対面授業で使う主要分別箱,C-M107-01,MUNICIPALITY_WIDE
M107,TB-M107-IP-02,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M107-02,燃えないごみ,2,対面授業で使う主要分別箱,C-M107-02,MUNICIPALITY_WIDE
M107,TB-M107-IP-03,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M107-03,燃える粗大ごみ,3,対面授業で使う主要分別箱,C-M107-03,MUNICIPALITY_WIDE
M107,TB-M107-IP-04,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M107-04,燃えない粗大ごみ,4,対面授業で使う主要分別箱,C-M107-04,MUNICIPALITY_WIDE
M107,TB-M107-IP-05,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M107-05,資源ごみ（びん・缶）,5,対面授業で使う主要分別箱,C-M107-05,MUNICIPALITY_WIDE
M107,TB-M107-IP-06,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M107-06,資源ごみ（古紙・布類）,6,対面授業で使う主要分別箱,C-M107-06,MUNICIPALITY_WIDE
M107,TB-M107-IP-07,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M107-07,資源ごみ（ペットボトル）,7,対面授業で使う主要分別箱,C-M107-07,MUNICIPALITY_WIDE
M107,TB-M107-IP-08,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M107-08,有害・危険ごみ,8,対面授業で使う主要分別箱,C-M107-08,MUNICIPALITY_WIDE
M108,TB-M108-ON-01,ONLINE_CLASS,FIXED_10_SCORING,C-M108-09,ペットボトル,1,固定画像10品目の採点用,C-M108-09,MUNICIPALITY_WIDE
M108,TB-M108-ON-02,ONLINE_CLASS,FIXED_10_SCORING,C-M108-11,白色トレイ,2,固定画像10品目の採点用,C-M108-11,MUNICIPALITY_WIDE
M108,TB-M108-ON-03,ONLINE_CLASS,FIXED_10_SCORING,C-M108-03,新聞・雑誌・雑がみ,3,固定画像10品目の採点用,C-M108-03,MUNICIPALITY_WIDE
M108,TB-M108-ON-04,ONLINE_CLASS,FIXED_10_SCORING,C-M108-06,ビン・缶,4,固定画像10品目の採点用,C-M108-06,MUNICIPALITY_WIDE
M108,TB-M108-ON-05,ONLINE_CLASS,FIXED_10_SCORING,C-M108-07,埋立ごみ,5,固定画像10品目の採点用,C-M108-07,MUNICIPALITY_WIDE
M108,TB-M108-ON-06,ONLINE_CLASS,FIXED_10_SCORING,C-M108-08,有害ごみ,6,固定画像10品目の採点用,C-M108-08,MUNICIPALITY_WIDE
M108,TB-M108-ON-07,ONLINE_CLASS,FIXED_10_SCORING,C-M108-04,ダンボール,7,固定画像10品目の採点用,C-M108-04,MUNICIPALITY_WIDE
M108,TB-M108-ON-08,ONLINE_CLASS,FIXED_10_SCORING,C-M108-01,普通ごみ,8,固定画像10品目の採点用,C-M108-01,MUNICIPALITY_WIDE
M108,TB-M108-ON-09,ONLINE_CLASS,FIXED_10_SCORING,C-M108-10,紙パック,9,固定画像10品目の採点用,C-M108-10,MUNICIPALITY_WIDE
M108,TB-M108-IP-01,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M108-01,普通ごみ,1,対面授業で使う主要分別箱,C-M108-01,MUNICIPALITY_WIDE
M108,TB-M108-IP-02,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M108-02,有価物,2,対面授業で使う主要分別箱,C-M108-02,MUNICIPALITY_WIDE
M108,TB-M108-IP-03,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M108-07,埋立ごみ,3,対面授業で使う主要分別箱,C-M108-07,MUNICIPALITY_WIDE
M108,TB-M108-IP-04,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M108-08,有害ごみ,4,対面授業で使う主要分別箱,C-M108-08,MUNICIPALITY_WIDE
M108,TB-M108-IP-05,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M108-09,ペットボトル,5,対面授業で使う主要分別箱,C-M108-09,MUNICIPALITY_WIDE
M108,TB-M108-IP-06,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M108-10,紙パック,6,対面授業で使う主要分別箱,C-M108-10,MUNICIPALITY_WIDE
M108,TB-M108-IP-07,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M108-11,白色トレイ,7,対面授業で使う主要分別箱,C-M108-11,MUNICIPALITY_WIDE
M108,TB-M108-IP-08,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M108-12,大型ごみ,8,対面授業で使う主要分別箱,C-M108-12,MUNICIPALITY_WIDE
M109,TB-M109-ON-01,ONLINE_CLASS,FIXED_10_SCORING,C-M109-07,ペットボトル,1,固定画像10品目の採点用,C-M109-07,MUNICIPALITY_WIDE
M109,TB-M109-ON-02,ONLINE_CLASS,FIXED_10_SCORING,C-M109-08,白色トレイ,2,固定画像10品目の採点用,C-M109-08,MUNICIPALITY_WIDE
M109,TB-M109-ON-03,ONLINE_CLASS,FIXED_10_SCORING,C-M109-06,紙・布類,3,固定画像10品目の採点用,C-M109-06,MUNICIPALITY_WIDE
M109,TB-M109-ON-04,ONLINE_CLASS,FIXED_10_SCORING,C-M109-04,缶・金属類,4,固定画像10品目の採点用,C-M109-04,MUNICIPALITY_WIDE
M109,TB-M109-ON-05,ONLINE_CLASS,FIXED_10_SCORING,C-M109-05,ビン類,5,固定画像10品目の採点用,C-M109-05,MUNICIPALITY_WIDE
M109,TB-M109-ON-06,ONLINE_CLASS,FIXED_10_SCORING,C-M109-09,有害ごみ,6,固定画像10品目の採点用,C-M109-09,MUNICIPALITY_WIDE
M109,TB-M109-ON-07,ONLINE_CLASS,FIXED_10_SCORING,C-M109-02,埋立ごみ,7,固定画像10品目の採点用,C-M109-02,MUNICIPALITY_WIDE
M109,TB-M109-ON-08,ONLINE_CLASS,FIXED_10_SCORING,C-M109-03,資源物,8,固定画像10品目の採点用,C-M109-03,MUNICIPALITY_WIDE
M109,TB-M109-IP-01,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M109-01,可燃ごみ,1,対面授業で使う主要分別箱,C-M109-01,MUNICIPALITY_WIDE
M109,TB-M109-IP-02,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M109-02,埋立ごみ,2,対面授業で使う主要分別箱,C-M109-02,MUNICIPALITY_WIDE
M109,TB-M109-IP-03,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M109-03,資源物,3,対面授業で使う主要分別箱,C-M109-03,MUNICIPALITY_WIDE
M109,TB-M109-IP-04,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M109-09,有害ごみ,4,対面授業で使う主要分別箱,C-M109-09,MUNICIPALITY_WIDE
M109,TB-M109-IP-05,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M109-10,大型ごみ,5,対面授業で使う主要分別箱,C-M109-10,MUNICIPALITY_WIDE
M110,TB-M110-ON-01,ONLINE_CLASS,FIXED_10_SCORING,C-M110-02,資源物（1）,1,固定10品目採点用。,C-M110-02,MUNICIPALITY_WIDE
M110,TB-M110-ON-02,ONLINE_CLASS,FIXED_10_SCORING,C-M110-03,資源物（2）,2,固定10品目採点用。,C-M110-03,MUNICIPALITY_WIDE
M110,TB-M110-ON-03,ONLINE_CLASS,FIXED_10_SCORING,C-M110-04,埋立ごみ,3,固定10品目採点用。,C-M110-04,MUNICIPALITY_WIDE
M110,TB-M110-ON-04,ONLINE_CLASS,FIXED_10_SCORING,C-M110-01,可燃ごみ,4,固定10品目採点用。,C-M110-01,MUNICIPALITY_WIDE
M110,TB-M110-ON-05,ONLINE_CLASS,SIMPLIFIED_ACTION,C-M110-07,回収・確認,5,教材用簡略行動。自治体正式区分ではない。,,
M110,TB-M110-IP-01,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M110-01,可燃ごみ,1,対面授業用の主要分別箱。,C-M110-01,MUNICIPALITY_WIDE
M110,TB-M110-IP-02,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M110-02,資源物（1）,2,対面授業用の主要分別箱。,C-M110-02,MUNICIPALITY_WIDE
M110,TB-M110-IP-03,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M110-03,資源物（2）,3,対面授業用の主要分別箱。,C-M110-03,MUNICIPALITY_WIDE
M110,TB-M110-IP-04,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M110-04,埋立ごみ,4,対面授業用の主要分別箱。,C-M110-04,MUNICIPALITY_WIDE
M110,TB-M110-IP-05,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M110-05,有害ごみ,5,対面授業用の主要分別箱。,C-M110-05,MUNICIPALITY_WIDE
M110,TB-M110-IP-06,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M110-06,大型ごみ,6,対面授業用の主要分別箱。,C-M110-06,MUNICIPALITY_WIDE
M111,TB-M111-ON-01,ONLINE_CLASS,FIXED_10_SCORING,C-M111-13,ペットボトル,1,固定10品目採点用。,C-M111-13,MUNICIPALITY_WIDE
M111,TB-M111-ON-02,ONLINE_CLASS,FIXED_10_SCORING,C-M111-07,缶類,2,固定10品目採点用。,C-M111-07,MUNICIPALITY_WIDE
M111,TB-M111-ON-03,ONLINE_CLASS,FIXED_10_SCORING,C-M111-08,びん類,3,固定10品目採点用。,C-M111-08,MUNICIPALITY_WIDE
M111,TB-M111-ON-04,ONLINE_CLASS,FIXED_10_SCORING,C-M111-14,白色トレイ,4,固定10品目採点用。,C-M111-14,MUNICIPALITY_WIDE
M111,TB-M111-ON-05,ONLINE_CLASS,FIXED_10_SCORING,C-M111-09,紙類,5,固定10品目採点用。,C-M111-09,MUNICIPALITY_WIDE
M111,TB-M111-ON-06,ONLINE_CLASS,FIXED_10_SCORING,C-M111-11,ダンボール,6,固定10品目採点用。,C-M111-11,MUNICIPALITY_WIDE
M111,TB-M111-ON-07,ONLINE_CLASS,FIXED_10_SCORING,C-M111-10,牛乳パック,7,固定10品目採点用。,C-M111-10,MUNICIPALITY_WIDE
M111,TB-M111-ON-08,ONLINE_CLASS,FIXED_10_SCORING,C-M111-05,有害ごみ,8,固定10品目採点用。,C-M111-05,MUNICIPALITY_WIDE
M111,TB-M111-ON-09,ONLINE_CLASS,FIXED_10_SCORING,C-M111-01,もやせるごみ,9,固定10品目採点用。,C-M111-01,MUNICIPALITY_WIDE
M111,TB-M111-ON-10,ONLINE_CLASS,SIMPLIFIED_ACTION,C-M111-15,回収・確認,10,教材用簡略行動。自治体正式区分ではない。,,
M111,TB-M111-IP-01,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M111-01,もやせるごみ,1,対面授業用の主要分別箱。,C-M111-01,MUNICIPALITY_WIDE
M111,TB-M111-IP-02,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M111-02,もえる粗大ごみ,2,対面授業用の主要分別箱。,C-M111-02,MUNICIPALITY_WIDE
M111,TB-M111-IP-03,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M111-03,もえない粗大ごみ,3,対面授業用の主要分別箱。,C-M111-03,MUNICIPALITY_WIDE
M111,TB-M111-IP-04,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M111-04,埋立ごみ,4,対面授業用の主要分別箱。,C-M111-04,MUNICIPALITY_WIDE
M111,TB-M111-IP-05,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M111-05,有害ごみ,5,対面授業用の主要分別箱。,C-M111-05,MUNICIPALITY_WIDE
M111,TB-M111-IP-06,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M111-06,資源ごみ,6,対面授業用の主要分別箱。,C-M111-06,MUNICIPALITY_WIDE
M112,TB-M112-ON-01,ONLINE_CLASS,FIXED_10_SCORING,C-M112-13,ペットボトル,1,固定10品目採点用。,C-M112-13,MUNICIPALITY_WIDE
M112,TB-M112-ON-02,ONLINE_CLASS,FIXED_10_SCORING,C-M112-03,缶,2,固定10品目採点用。,C-M112-03,MUNICIPALITY_WIDE
M112,TB-M112-ON-03,ONLINE_CLASS,FIXED_10_SCORING,C-M112-04,ビン,3,固定10品目採点用。,C-M112-04,MUNICIPALITY_WIDE
M112,TB-M112-ON-04,ONLINE_CLASS,FIXED_10_SCORING,C-M112-14,その他プラスチック,4,固定10品目採点用。,C-M112-14,MUNICIPALITY_WIDE
M112,TB-M112-ON-05,ONLINE_CLASS,FIXED_10_SCORING,C-M112-05,古紙類,5,固定10品目採点用。,C-M112-05,MUNICIPALITY_WIDE
M112,TB-M112-ON-06,ONLINE_CLASS,FIXED_10_SCORING,C-M112-09,小型電化製品及び有害物,6,固定10品目採点用。,C-M112-09,MUNICIPALITY_WIDE
M112,TB-M112-IP-01,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M112-01,燃えるごみ,1,対面授業用の主要分別箱。,C-M112-01,MUNICIPALITY_WIDE
M112,TB-M112-IP-02,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M112-02,資源ごみ,2,対面授業用の主要分別箱。,C-M112-02,MUNICIPALITY_WIDE
M112,TB-M112-IP-03,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M112-07,燃えないごみ,3,対面授業用の主要分別箱。,C-M112-07,MUNICIPALITY_WIDE
M112,TB-M112-IP-04,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M112-12,プラスチックごみ,4,対面授業用の主要分別箱。,C-M112-12,MUNICIPALITY_WIDE
M112,TB-M112-IP-05,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M112-15,粗大ごみ,5,対面授業用の主要分別箱。,C-M112-15,MUNICIPALITY_WIDE
