municipality_id,lesson_variant_group_id,display_order,internal_item_id,lesson_condition_profile,selected_branch_order,teaching_box_id,selection_status,note
M099,LV-M099-01,13,I027,STANDARD_DRY_BATTERY,1,TB-M099-01-05,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M099,LV-M099-01,14,I018,HOUSEHOLD_FOOD_WASTE,1,TB-M099-01-SUP-01,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M099,LV-M099-01,15,I010,CLEAN_PLASTIC_SNACK_BAG,1,TB-M099-01-01,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M099,LV-M099-02,11,I002,PLASTIC_PET_CAP,1,TB-M099-02-01,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M099,LV-M099-02,12,I003,PLASTIC_PET_LABEL,1,TB-M099-02-01,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M099,LV-M099-02,13,I027,STANDARD_DRY_BATTERY,1,TB-M099-02-05,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M099,LV-M099-02,14,I018,HOUSEHOLD_FOOD_WASTE,1,TB-M099-02-SUP-01,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M099,LV-M099-02,15,I010,CLEAN_PLASTIC_SNACK_BAG,1,TB-M099-02-01,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M099,LV-M099-03,11,I002,PLASTIC_PET_CAP,1,TB-M099-03-01,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M099,LV-M099-03,12,I003,PLASTIC_PET_LABEL,1,TB-M099-03-01,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M099,LV-M099-03,13,I027,STANDARD_DRY_BATTERY,1,TB-M099-03-04,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M099,LV-M099-03,14,I018,HOUSEHOLD_FOOD_WASTE,1,TB-M099-03-SUP-01,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M099,LV-M099-03,15,I010,CLEAN_PLASTIC_SNACK_BAG,1,TB-M099-03-01,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M105,,11,I002,PLASTIC_PET_CAP,1,,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M105,,12,I003,PLASTIC_PET_LABEL,1,,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M105,,13,I027,STANDARD_DRY_BATTERY,1,,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M105,,14,I018,HOUSEHOLD_FOOD_WASTE,1,,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M105,,15,I010,CLEAN_PLASTIC_SNACK_BAG,1,,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
