都道府県,市町村,実装区分,備考,出典URL
山口県,山陽小野田市,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
山口県,周防大島町,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
山口県,和木町,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
山口県,上関町,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
山口県,田布施町,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
山口県,平生町,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
山口県,阿武町,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
徳島県,吉野川市,個別指定,ユーザー指定（企業所在地等）,
香川県,綾川町,個別指定,ユーザー指定（企業所在地等）,
香川県,多度津町,個別指定,ユーザー指定（企業所在地等）,
香川県,丸亀市,個別指定,ユーザー指定（企業所在地等）,
香川県,三豊市,個別指定,ユーザー指定（企業所在地等）,
福岡県,小竹町,個別指定,ユーザー指定（企業所在地等）,
福岡県,北九州市,個別指定,ユーザー指定（企業所在地等）,
大分県,佐伯市,個別指定,ユーザー指定（企業所在地等）,
