municipality_id,都道府県,市町村,実装区分,備考,出典URL
M108,広島県,府中町,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
M109,広島県,海田町,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
M110,広島県,熊野町,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
M111,広島県,坂町,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
M112,広島県,安芸太田町,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
M113,広島県,北広島町,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
M114,広島県,大崎上島町,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
M115,広島県,世羅町,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
M116,広島県,神石高原町,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
M117,山口県,下関市,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
M118,山口県,宇部市,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
M119,山口県,山口市,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
M120,山口県,萩市,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
M121,山口県,防府市,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
M122,山口県,下松市,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
M123,山口県,岩国市,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
M124,山口県,光市,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
M125,山口県,長門市,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
M126,山口県,柳井市,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
M127,山口県,美祢市,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
M128,山口県,周南市,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
M129,山口県,山陽小野田市,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
M130,山口県,周防大島町,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
M131,山口県,和木町,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
M132,山口県,上関町,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
M133,山口県,田布施町,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
M134,山口県,平生町,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
M135,山口県,阿武町,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
M136,徳島県,吉野川市,個別指定,ユーザー指定（企業所在地等）,
M137,香川県,綾川町,個別指定,ユーザー指定（企業所在地等）,
M138,香川県,多度津町,個別指定,ユーザー指定（企業所在地等）,
M139,香川県,丸亀市,個別指定,ユーザー指定（企業所在地等）,
M140,香川県,三豊市,個別指定,ユーザー指定（企業所在地等）,
M141,福岡県,小竹町,個別指定,ユーザー指定（企業所在地等）,
M142,福岡県,北九州市,個別指定,ユーザー指定（企業所在地等）,
M143,大分県,佐伯市,個別指定,ユーザー指定（企業所在地等）,
